PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Permeability,Analysis Comment
RESULT_TYPE,,,,,,,,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,Indicates type of activity observed: 0-10: Low Permeability; 10-40: Moderate Permeability; > 40: High Permeability.,Permeability observed from the stirring double-sink PAMPA-BBB method. Calculations were performed using Pion Inc. software and were expressed in the units of 10^-6cm/s.,Annotation/notes on a particular compound's data or its analysis.
280,124897537,73265333,C[C@@]12CC[C@]3(CCC(C[C@@H]3[C@@H]1C(=O)C=C4[C@]2(CC[C@@H]5[C@@]4(C=C(C(=O)C5(C)C)C#N)C)C)(C)C)C(=O)OC,Inactive,8,,,Low,8,Class = 1
281,363680641,135883253,C1CCC2(CC1)CC(=NO2)C3=NC4=C(C=C(C=C4N3)C5=CC=CC=C5C(F)(F)F)C(F)(F)F,Inactive,8,,,Low,8,Class = 1
282,434146885,394397,C1=CC=C(C(=C1)C(=O)NC2=NC=C(S2)[N+](=O)[O-])O,Inactive,8,,,Low,8,Class = 1
283,384568026,10219,CC[C@H]1CN2CCC3=CC(=C(C=C3[C@@H]2C[C@@H]1C[C@@H]4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC,Inactive,7,,,Low,7,Class = 1
284,170466215,68865,CCN(CC)CC(=O)OC1=CC=C(C=C1)NC(=O)C,Inactive,7,,,Low,7,Class = 1
285,384568725,56962337,CC(C)N(CCCNC(=O)NC1=CC=C(C=C1)C(C)(C)C)C[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=C(C4=C(N=CN=C43)N)Br)O)O,Inactive,6,,,Low,6.2,Class = 1
286,144204281,20848883,CN(C)CCN1C(=NN=N1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)CC4=CSC(=N4)N)SC2)C(=O)O.Cl,Inactive,6,,,Low,6,Class = 1
287,405558690,6426739,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)COC3=CC=CC=C3)C(=O)[O-])C,Inactive,6,,,Low,6,Class = 1
288,170464668,457193,C[C@@H]1[C@@H](C(=O)N[C@@H](C(=O)N2CCC[C@H]2C(=O)N(CC(=O)N([C@H](C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)N[C@H]6[C@H](OC(=O)[C@@H](N(C(=O)CN(C(=O)[C@@H]7CCCN7C(=O)[C@H](NC6=O)C(C)C)C)C)C(C)C)C)N)C,Inactive,6,,,Low,6,Class = 1
289,225144372,4969,CC(CC1=CC2=C(C=C1)OCO2)NCC(C3=CC(=C(C=C3)O)O)O,Inactive,6,,,Low,6,Class = 1
290,363677747,71506583,C1CCC(CC1)NC(=O)OC2=CC(=CC(=C2)O)C3=CC(=CC=C3)C(=O)N,Inactive,6,,,Low,6,Class = 1
291,440681225,71607189,C1=CC=C2C(=C1)C(=NS2(=O)=O)NC3=CC(=CC=C3)NC(=O)CCl,Inactive,6,,,Low,5.9,Class = 1
292,170466838,445154,C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O,Inactive,5,,,Low,5,Class = 1
293,144206857,60021,CC1CN(CCN1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4=C(C=C(C=C4)F)F)F,Inactive,5,,,Low,5,Class = 1
294,405558678,441401,CC(=O)NC[C@H]1CN(C(=O)O1)C2=CC(=C(C=C2)N3CCOCC3)F,Inactive,5,,,Low,5,Class = 1
295,363677984,10350459,CC1=CC=CC=C1NC(=O)NC2=CC=C(C=C2)CC(=O)N(C)[C@@H](CC(C)C)C(=O)NCC[C@@H](C(=O)O)NC(=O)[C@@H]3CCCN3S(=O)(=O)C4=CC(=CC(=C4)Cl)Cl,Inactive,5,,,Low,5,Class = 1
296,363680189,135533054,C1=CC=C2C=C(C(=CC2=C1)C(=O)N/N=C/C3=CC(=C(C=C3)O)O)O,Inactive,5,,,Low,5,Class = 1
297,363680544,9815610,C1CC2=C(C=CS2)C(=C1)C3=CN=CN3,Inactive,5,,,Low,5,Class = 1
298,144204245,6321411,C=CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N/OCC(=O)O)/C3=CSC(=N3)N)SC1)C(=O)O,Inactive,4,,,Low,4,Class = 1
299,144205998,119570,CCCN[C@H]1CCC2=C(C1)SC(=N2)N,Inactive,4,,,Low,4,Class = 1
300,363677098,11398092,CCO[C@H]1[C@H](CC(=O)O1)NC(=O)[C@@H]2CCCN2C(=O)[C@H](C(C)(C)C)NC(=O)C3=CC(=C(C=C3)N)Cl,Inactive,4,,,Low,4,Class = 1
301,90340793,5735538,CO/S(=N\S(=O)(=O)C1=CC=C(C=C1)Cl)/C2=CC=C(C=C2)[N+](=O)[O-],Inactive,4,,,Low,4,Class = 1
302,363678000,9886249,C1CN(CCC12NC3=C(C=CC(=C3C(=N2)N)F)F)C(=O)C4=CN=C(C=C4)C#N,Inactive,4,,,Low,4,Class = 1
303,363681351,71515460,C1CCN(CC1)NC(=O)C2=NN(C(=C2CNS(=O)(=O)N3CCCC3)C4=CC=C(S4)C#CC5=CC=C(C=C5)C(F)(F)F)C6=C(C=C(C=C6)Cl)Cl,Inactive,4,,,Low,4,Class = 1
304,144204243,5459211,C[C@H]1[C@@H](C(=O)N1S(=O)(=O)O)NC(=O)/C(=N/OC(C)(C)C(=O)O)/C2=CSC(=N2)N,Inactive,4,,,Low,3.5,Class = 1
305,124954167,16736529,CC1=CN=C(C(=C1OC)C)CN2C=NC3=C2N=C(N=C3Cl)N,Inactive,3,,,Low,3.17,Class = 1
306,4252816,8546,C1=CC=C2C(=C1)C=C(C(=C2CC3=C(C(=CC4=CC=CC=C43)C(=O)O)O)O)C(=O)O,Inactive,3,,,Low,3,Class = 1
307,472319432,3767,C1=CN=CC=C1C(=O)NN,Inactive,3,,,Low,3,Class = 1
308,170466514,68770,CC(C)(C)NCC(COC1=CC=C(C=C1)NC(=O)NC2CCCCC2)O,Inactive,3,,,Low,3,Class = 1
309,170466019,20055424,CC1=NC=C(C(=N1)N)CN(/C(=C(\SS/C(=C(\N(C=O)CC2=CN=C(N=C2N)C)/C)/CCOC(=O)C(C)C)/CCOC(=O)C(C)C)/C)C=O,Inactive,3,,,Low,3,Class = 1
310,440681719,146033,C1=CC(=CC=C1[C@H]([C@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],Inactive,3,,,Low,3,Class = 1
311,225144306,50989217,C[C@@H]1OC[C@@H]2[C@H](O1)[C@@H]([C@@H]([C@@H](O2)O[C@H]3[C@H]4COC(=O)[C@@H]4[C@@H](C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,Inactive,3,,,Low,3,Class = 1
312,124950515,46926588,C1=CC=C(C=C1)CN2C=C(C3=C2N=CN(C3=N)CCNCCO)C4=CC=CC=C4,Inactive,3,,,Low,3,Class = 1
313,124951235,50985813,C1OC2=C(O1)C=C(C=C2)CN3C=NC4=C(C3=N)C(=C(N4CC5=CC=CC=C5)C6=CC=CC=C6)C7=CC=CC=C7,Inactive,3,,,Low,3,Class = 1
314,124954120,51035475,C[C@H]([C@H](C1=CC=CC=C1)O)N2C=NC3=C(C2=N)C(=C(N3CC4=CC=CC=C4)C5=CC=CC=C5)C6=CC=CC=C6,Inactive,3,,,Low,3,Class = 1
315,363678257,127894,C1C[C@H]2CN[C@@H](C[C@H]2C[C@H]1CCC3=NNN=N3)C(=O)O,Inactive,3,,,Low,3,Class = 1
316,363681200,16741475,CN1C=C(C2=C1C=CC(=C2)Br)C3=C(C(=O)NC3=O)C4=COC5=CC=CC=C54,Inactive,3,,,Low,3,Class = 1
317,384569335,46188928,C1C[C@@H](N(C1)C2=NC3=C(C=NN3C=C2)NC(=O)N4CC[C@@H](C4)O)C5=C(C=CC(=C5)F)F,Inactive,3,,,Low,3,Class = 1
318,405558834,135456161,CC1=C(OC(=O)O1)COC(=O)N2CC[C@H](C2)N3CC/C(=C\C4=C(N5[C@@H]([C@@H](C5=O)NC(=O)/C(=N/O)/C6=NSC(=N6)N)SC4)C(=O)O)/C3=O,Inactive,3,,,Low,3,Class = 1
319,405558514,9863827,CC1=CC(=CN=C1NC)C2=C(C3=C(C=C2)C(=O)C(=CN3C4CC4)C(=O)O)C,Inactive,3,,,Low,3,Class = 1
320,124881866,23689697,CC(=O)OCC1=C(N2C(C(C2=O)NC(=O)CC3=CC=CS3)SC1)C(=O)[O-].[Na+],Inactive,2,,,Low,2,Class = 1
321,144204170,443944,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)N[C@@H]2[C@H]([C@@H]([C@H](OC2O)CO)O)O)I)N(C)C(=O)C)I,Inactive,2,,,Low,2,Class = 1
322,170466062,14710,CC[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N)N.[Br-],Inactive,2,,,Low,2,Class = 1
323,26748416,23663396,CC(=O)OCC1=C(N2C(C(C2=O)NC(=O)CCCC(C(=O)O)N)SC1)C(=O)[O-].[Na+],Inactive,2,,,Low,2,Class = 1
324,405559067,5362065,C=CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OCC(=O)O)/C3=CSC(=N3)N)SC1)C(=O)O,Inactive,2,,,Low,2,Class = 1
325,144206929,5361202,CO/N=C(\C1=CC=CO1)/C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)O,Inactive,2,,,Low,2,Class = 1
326,384568479,151118,CC(=O)NC1=CC=C(C=C1)C(=O)NC(C)(C)C,Inactive,2,,,Low,2,Class = 1
327,170465602,10358237,C1CCN(CC1)C[C@@H](CO/N=C(/C2=C[N+](=CC=C2)[O-])\Cl)O,Inactive,2,,,Low,2,Class = 1
328,387065837,54681908,CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)CN(C)OC,Inactive,2,,,Low,2,Class = 1
329,405558609,9852982,CCO/N=C(/C1=NSC(=N1)NP(=O)(O)O)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)SC4=NC(=CS4)C5=CC=[N+](C=C5)C)C(=O)O,Inactive,2,,,Low,2,Class = 1
330,434147169,57381425,C1CC1(C2=CC=CC=C2)NC3=NC=C(C=N3)C(=O)NO,Inactive,2,,,Low,2,Class = 1
331,441175908,58557659,CC[C@@H]1CN(C[C@@H]1C2=CN=C3N2C4=C(NC=C4)N=C3)C(=O)NCC(F)(F)F,Inactive,2,,,Low,2,Class = 1
332,384569061,6445540,C[C@H]1CCC[C@@]2([C@@H](O2)C[C@H](NC(=O)C[C@@H](C(C(=O)[C@@H]([C@H]1O)C)(C)C)O)/C(=C/C3=CSC(=N3)C)/C)C,Inactive,2,,,Low,1.7,Class = 1
333,4254372,60699,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC(=C5CN(C)C)O)N=C4C3=C2)O.Cl,Inactive,1,,,Low,1.37,Class = 1
334,384569272,132018767,CCOC(=N)C1=NC2=C(S1)C3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4Cl)F)F,Inactive,1,,,Low,1.2,Class = 1
335,472319427,2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Inactive,1,,,Low,1,Class = 1
336,124879761,2673,CC1=C(N2C(C(C2=O)NC(=O)C(C3=CCC=CC3)N)SC1)C(=O)O,Inactive,1,,,Low,1,Class = 1
337,170464715,3446,C1CCC(CC1)(CC(=O)O)CN,Inactive,1,,,Low,1,Class = 1
338,170464942,681,C1=CC(=C(C=C1CCN)O)O,Inactive,1,,,Low,1,Class = 1
339,144204041,441328,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)N)SC1)C(=O)O,Inactive,1,,,Low,1,Class = 1
340,124882529,446541,CC1=C2COC(=O)C2=C(C(=C1OC)C/C=C(\C)/CCC(=O)O)O,Inactive,1,,,Low,1,Class = 1
341,144204221,43507,C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3CN)C(=O)O)CSC4=NN=NN4CC(=O)O,Inactive,1,,,Low,1,Class = 1
342,144204232,53025,CN1C(=NN=N1)SCC2=C(N3[C@@H]([C@@](C3=O)(NC(=O)C4SC(=C(C(=O)N)C(=O)O)S4)OC)SC2)C(=O)O,Inactive,1,,,Low,1,Class = 1
343,144204318,23704143,CCOC1=C(C2=CC=CC=C2C=C1)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)[O-].O.[Na+],Inactive,1,,,Low,1,Class = 1
344,144204344,441242,CN1C(=NN=N1)SCC2=C(N3[C@@H]([C@@](C3=O)(NC(=O)C(C4=CC=C(C=C4)O)C(=O)[O-])OC)OC2)C(=O)[O-].[Na+].[Na+],Inactive,1,,,Low,1,Class = 1
345,440681566,5491295,C[N+]1(CCCC1)CC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)SC2)C(=O)O,Inactive,1,,,Low,1,Class = 1
346,170465045,444795,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C,Inactive,1,,,Low,1,Class = 1
347,17389537,73339,C1[C@@H](O[C@@H](S1)CO)N2C=CC(=NC2=O)N,Inactive,1,,,Low,1,Class = 1
348,377020433,5083,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)CCCSC(=N)N,Inactive,1,,,Low,1,Class = 1
349,144204873,23678596,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)C3=C(C=CC=C3OC)OC)C(=O)[O-])C.O.[Na+],Inactive,1,,,Low,1,Class = 1
350,124891818,5206924,C1C(=C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CS3)C(=O)[O-])C[N+]4=CC=CC=C4,Inactive,1,,,Low,1,Class = 1
351,144206746,6915944,C=CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\O)/C3=CSC(=N3)N)SC1)C(=O)O,Inactive,1,,,Low,1,Class = 1
352,174006309,5358,CNS(=O)(=O)CC1=CC2=C(C=C1)NC=C2CCN(C)C,Inactive,1,,,Low,1,Class = 1
353,24401733,135410436,CC1=C(C(N2C(=C(C=N2)C(=O)NC3=CC=C(C=C3)F)N1)C4=CC=C(C=C4)Cl)C(=O)NC5=CC=CC=C5OC,Inactive,1,,,Low,1,Class = 1
354,24417192,4901885,COC1=C(C=C(C=C1)Cl)NC(=O)C2=C(C3=CC4=C(C5CCN4CC5)N=C3S2)N,Inactive,1,,,Low,1,Class = 1
355,440681301,5362440,CC(C)(C)NC(=O)[C@@H]1CN(CCN1C[C@H](C[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H]3[C@@H](CC4=CC=CC=C34)O)O)CC5=CN=CC=C5,Inactive,1,,,Low,1,Class = 1
356,26756662,16760024,C1=NC(=C2C(=N1)N(C=N2)[C@@H]3[C@H]([C@H]([C@@H](O3)CSCC[C@H](C(=O)O)N)O)O)N,Inactive,1,,,Low,1,Class = 1
357,26756709,73530,CC1C2=C(CC(N1)C(=O)O)C3=CC=CC=C3N2,Inactive,1,,,Low,1,Class = 1
358,363676618,107985,CC(C)[C@@]12[C@@H](O1)[C@H]3[C@@]4(O3)[C@]5(CCC6=C([C@@H]5C[C@H]7[C@]4([C@@H]2O)O7)COC6=O)C,Inactive,1,,,Low,1,Class = 1
359,26757056,5311081,C1C[C@H](N(C1)C(=O)[C@H](CC2=CC=C(C=C2)O)N)C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)N[C@@H](CC4=CC=CC=C4)C(=O)N,Inactive,1,,,Low,1,Class = 1
360,26757062,443363,CSCC[C@@H](C(=O)O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)CNC(=O)CNC(=O)[C@H](CC2=CC=C(C=C2)O)N,Inactive,1,,,Low,1,Class = 1
361,170466271,65894,C[C@H]([C@@H]1[C@@H]2N(C1=O)C(=C(S2)[C@H]3CCCO3)C(=O)O)O,Inactive,1,,,Low,1,Class = 1
362,29217475,16078939,C1=CC=C(C=C1)COC2=CC=CC=C2C(C3=CC(=CC=C3)F)OC[C@@H](C(=O)O)N,Inactive,1,,,Low,1,Class = 1
363,170466028,38882,CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O.O,Inactive,1,,,Low,1,Class = 1
364,144205981,5484,CN1CCCC(=C(C2=CC=CS2)C3=CC=CS3)C1,Inactive,1,,,Low,1,Class = 1
365,405558753,636405,CC1=CC(=O)C(=CN1)C(=O)N[C@H](C2=CC=C(C=C2)O)C(=O)N[C@H]3[C@@H]4N(C3=O)C(=C(CS4)CSC5=NN=NN5C)C(=O)O,Inactive,1,,,Low,1,Class = 1
366,405558486,24868269,CO/N=C(\C1=CSC(=N1)N)/C(=O)N[C@H]2[C@@H]3N(C2=O)C(=CCS3)C(=O)[O-],Inactive,1,,,Low,1,Class = 1
367,405558707,5281042,C[N+]1(CCC2=CC(=C(C=C2[C@H]1CC3=CC(=C(C(=C3)OC)OC)OC)OC)OC)CCCOC(=O)CC/C=C/CCC(=O)OCCC[N+]4(CCC5=CC(=C(C=C5[C@H]4CC6=CC(=C(C(=C6)OC)OC)OC)OC)OC)C,Inactive,1,,,Low,1,Class = 1
368,144206034,160024,C1[C@H](OC2=C([C@]13C(=O)NC(=O)N3)C=C(C=C2)F)C(=O)N,Inactive,1,,,Low,1,Class = 1
369,144206104,9568618,C1=C(N=C(S1)N)/C(=N/OCC(=O)[O-])/C(=O)N[C@H]2[C@H](N(C2=O)S(=O)(=O)[O-])COC(=O)N.[Na+].[Na+],Inactive,1,,,Low,1,Class = 1
370,144206111,4237,COC1=CC=C(C=C1)C2=C(ON=C2C3=CC=C(C=C3)OC)CC(=O)O,Inactive,1,,,Low,1,Class = 1
371,144206126,9852176,CC1=C(SC(=N1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)SC2)C(=O)[O-])CC(=O)[O-].[Na+].[Na+],Inactive,1,,,Low,1,Class = 1
372,174006168,73265182,CC(=O)OC[C@H]1[C@@H]([C@H]([C@@H](O1)N2C=CC(=O)NC2=O)OC(=O)C)OC(=O)C,Inactive,1,,,Low,1,Class = 1
373,170465670,443101,C[N+]1=C2C=C(C=CC2=CC3=C1C=C(C=C3)N)N.C1=CC(=CC2=NC3=C(C=CC(=C3)N)C=C21)N.[Cl-],Inactive,1,,,Low,1,Class = 1
374,363677056,5315244,COC(=O)C1=CC=CC=C1O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO[C@H]3[C@@H]([C@H]([C@@H](CO3)O)O)O)O)O)O,Inactive,1,,,Low,1,Class = 1
375,144206212,160243,C[N+]1(CC(CC(=C(C2=CC=CS2)C3=CC=CS3)C1)OC)C.[Br-],Inactive,1,,,Low,1,Class = 1
376,144206354,5485193,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2[C@@H](CN(C2=O)C)C(=O)O.Cl,Inactive,1,,,Low,1,Class = 1
377,144206652,93184,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)C(C3=CC=CC=C3)C(=O)OC4=CC5=C(CCC5)C=C4)C(=O)O)C,Inactive,1,,,Low,1,Class = 1
378,144206845,164486,C1=CN(C(=N1)[N+](=O)[O-])CO[C@@H](CO)[C@@H](CO)O,Inactive,1,,,Low,1,Class = 1
379,144206464,6918126,CC/C=C(/C1=CSC(=N1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)OCOC(=O)C(C)(C)C.Cl,Inactive,1,,,Low,1,Class = 1
380,144206467,23663404,CC#CCC(C)[C@@H](/C=C/[C@H]1[C@@H](C[C@H]2[C@@H]1C3=CC=CC(=C3O2)CCCC(=O)[O-])O)O.[Na+],Inactive,1,,,Low,1,Class = 1
381,144206846,20749,CC[N+]1(CCC(=C(C2=CC=CC=C2)C3=CC=CC=C3)C1C)CC.[Br-],Inactive,1,,,Low,1,Class = 1
382,174006739,107970,CCCCCCCCC1=CC=C(C=C1)CCC(CO)(CO)N,Inactive,1,,,Low,1,Class = 1
383,124950503,46926601,COC(=O)C[C@@H](C(=O)OC)N1C=NC2=C(C1=N)C(=CN2CC3=CC=C(C=C3)Br)C4=CC=CC=C4,Inactive,1,,,Low,1,Class = 1
384,124951236,50985822,C1=CC=C(C=C1)C[C@@H](CO)N2C=NC3=C(C2=N)C(=C(N3CC4=CC=CC=C4)C5=CC=CC=C5)C6=CC=CC=C6,Inactive,1,,,Low,1,Class = 1
385,144206414,6321225,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)O.CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)O.O.O.O.O.O.OS(=O)(=O)O,Inactive,1,,,Low,1,Class = 1
386,124954118,51035481,CCOC(CCCN1C=NC2=C(C1=N)C(=C(N2CCC3=CC=CC=C3)C4=CC=CC=C4)C5=CC=CC=C5)OCC,Inactive,1,,,Low,1,Class = 1
387,124954130,51035465,C1=CC=C(C=C1)CCN2C(=C(C3=C2N=CN(C3=N)[C@@H](CC4=CC=CC=C4)CO)C5=CC=CC=C5)C6=CC=CC=C6,Inactive,1,,,Low,1,Class = 1
388,170466755,33498,CC1=C(N2[C@@H]([C@@H](C2=O)N)SC1)C(=O)O,Inactive,1,,,Low,1,Class = 1
389,170466166,41448,C1C2=CC=CC=C2C(=O)C3=C(O1)C=CC(=C3)CC(=O)O,Inactive,1,,,Low,1,Class = 1
390,170465975,196639,CCOC(=O)C1=CC(=O)C2=C(O1)C=CC=C2OCC(COC3=CC=CC4=C3C(=O)C=C(O4)C(=O)OCC)OC(=O)[C@H](CCCCN)N,Inactive,1,,,Low,1,Class = 1
391,137275961,57519507,CC1=C(C2=CC=CC=C2N1)CCNCC3=CC=C(C=C3)C=CC(=O)NO,Inactive,1,,,Low,1,Class = 1
392,170464711,9677,CCCCCCCCCC(=O)O[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@H]34)C,Inactive,1,,,Low,1,Class = 1
393,363677287,150311,C1=CC(=CC=C1[C@@H]2[C@H](C(=O)N2C3=CC=C(C=C3)F)CC[C@@H](C4=CC=C(C=C4)F)O)O,Inactive,1,,,Low,1,Class = 1
394,387059820,439155,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CSCC[C@@H](C(=O)O)N)O)O)N,Inactive,1,,,Low,1,Class = 1
395,405558952,140689680,CN1C(=NN=N1)SCC2=C(N3C([C@H](C3=O)NC(=O)C(C4=CC=CC=C4)O)SC2)C(=O)[O-],Inactive,1,,,Low,1,Class = 1
396,170466100,129109,CC(C(=O)N1C(CN(C1=O)C)C(=O)O)NC(CCC2=CC=CC=C2)C(=O)O,Inactive,1,,,Low,1,Class = 1
397,440681275,40467085,CN1C(=NN=N1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)[C@@H](C4=CC=CC=C4)OC=O)SC2)C(=O)[O-],Inactive,1,,,Low,1,Class = 1
398,174006690,44205240,CCS(=O)(=O)N1CC(C1)(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,Inactive,1,,,Low,1,Class = 1
399,174006194,656574,CON=C(C1=CSC(=N1)N)C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)CN4C=CC(=N)N4CCO)C(=O)O,Inactive,1,,,Low,1,Class = 1
400,384568917,10253143,C1COCCC1CNC(=O)C2=CN=C(N=C2C(F)(F)F)NC3=C(C=C(C=C3)Cl)Cl,Inactive,1,,,Low,1,Class = 1
401,387059832,57345410,CC(C)N(C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O)C4CC(C4)CCC5=NC6=C(N5)C=C(C=C6)C(C)(C)C,Inactive,1,,,Low,1,Class = 1
402,363677804,56962336,CC(C)N(CCCNC(=O)NC1=CC=C(C=C1)C(C)(C)C)C[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC4=C(N=CN=C43)N)O)O,Inactive,1,,,Low,1,Class = 1
403,363678001,5311096,C1CC(CCC1CCN2CCC3=C(C2)C=CC(=C3)C#N)NC(=O)C4=CC=NC5=CC=CC=C45,Inactive,1,,,Low,1,Class = 1
404,363678164,11983356,C1CN[C@@H]1COC2=CN=CC(=C2)C#CCCCCO,Inactive,1,,,Low,1,Class = 1
405,384569111,153270,CCO[C@H]1[C@H](CC(=O)O1)NC(=O)[C@@H]2CCCN3N2C(=O)[C@H](CCC3=O)NC(=O)C4=NC=CC5=CC=CC=C54,Inactive,1,,,Low,1,Class = 1
406,363679438,44715627,C[C@@H]1C[C@H]([C@]2([C@@H](O1)O[C@@H]3CC4CC[C@@H]5C([C@]4(C[C@H]3O2)C=O)CC[C@]6([C@@]5(CC[C@@H]6C7=CC(=O)OC7)O)C)O)O,Inactive,1,,,Low,1,Class = 1
407,363679723,4365980,COC1=CC(=CC2=C1OC(C2CO)C3=CC(=C(C=C3)O)OC)CCCO,Inactive,1,,,Low,1,Class = 1
408,363680331,11256560,CC(C)(C)C1=CC2=C(C=C1)[C@@H](CC2)NC(=O)NC3=CC=CC4=C3C=NN4,Inactive,1,,,Low,1,Class = 1
409,377020343,2054170,C1=C(C=C(C=C1C(=O)NCCO)C(=O)NCCO)C(=O)NCCO,Inactive,1,,,Low,1,Class = 1
410,405559121,146170502,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)C(C3=CSC=C3)C(=O)O)C(=O)[O-])C,Inactive,1,,,Low,1,Class = 1
411,377020228,135398522,C1OC2=C(O1)C=C(C=C2)/C=C\3/C(=O)NC(=N3)NC4=CC=CC=C4,Inactive,1,,,Low,1,Class = 1
412,375890460,134810927,CC(=O)N1CCN(CC1)C(=O)C2=CC=C(C=C2)C3=NC=C4N3C=C(N=C4)C5=CC(=CC=C5)F,Inactive,1,,,Low,1,Class = 1
413,375890192,134810659,C1=CC=C(C=C1)C2=CN3C(=CN=C3C4=CC=C(C=C4)C(=O)O)C=N2,Inactive,1,,,Low,1,Class = 1
414,375889102,134809569,C1=CC(=CC(=C1)F)C2=CN3C(=CN=C3C4=CC=C(C=C4)C(=O)NCCC5=CN=CN5)C=N2,Inactive,1,,,Low,1,Class = 1
415,375873079,56893258,C1C[C@@H](C[C@H]1NC2=NC=CC(=N2)C3=CC=NC=C3)NC(=O)CNC(=O)N,Inactive,1,,,Low,1,Class = 1
416,377020474,66610682,CC(C)CN(CC(=O)N(CCCN1CCCC1=O)CC(=O)N)C(=O)CNCCC2=CC=CC=C2F,Inactive,1,,,Low,1,Class = 1
417,363681103,71226662,CC#CC(=O)N1CCC[C@H]1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5,Inactive,1,,,Low,1,Class = 1
418,434147152,185617,C1=CC(=CC=C1C2=CC(=O)C3=C(C(=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O)O)O,Inactive,1,,,Low,1,Class = 1
